image_name,yield
crop_00000.png,2.05
crop_00001.png,20.66
crop_00002.png,1.33
crop_00003.png,4.82
crop_00004.png,1.12
crop_00005.png,30.45
crop_00006.png,13.15
crop_00007.png,0.9
crop_00008.png,1.3
crop_00009.png,32.07
crop_00010.png,26.04
crop_00011.png,12.1
crop_00012.png,5.13
crop_00013.png,0.29
crop_00014.png,0.46
crop_00015.png,0.5
crop_00016.png,1.1
crop_00017.png,0.26
crop_00018.png,4.56
crop_00019.png,1.19
crop_00020.png,0.22
crop_00021.png,1.03
crop_00022.png,0.71
crop_00023.png,9.42
crop_00024.png,0.96
crop_00025.png,0.29
crop_00026.png,0.3
crop_00027.png,0.31
crop_00028.png,0.4
crop_00029.png,2.57
crop_00030.png,0.31
crop_00031.png,14.3
crop_00032.png,1.1
crop_00033.png,7.3
crop_00034.png,0.14
crop_00035.png,0.26
crop_00036.png,0.7
crop_00037.png,4.59
crop_00038.png,0.99
crop_00039.png,1.16
crop_00040.png,6.29
crop_00041.png,1.12
crop_00042.png,1.31
crop_00043.png,1.5
crop_00044.png,0.73
crop_00045.png,9.6
crop_00046.png,8.76
crop_00047.png,0.28
crop_00048.png,0.64
crop_00049.png,21.91
crop_00050.png,12.1
crop_00051.png,26.17
crop_00052.png,0.16
crop_00053.png,4.92
crop_00054.png,17.41
crop_00055.png,39.36
crop_00056.png,22.51
crop_00057.png,15.48
crop_00058.png,1.45
crop_00059.png,2.53
crop_00060.png,2.2
crop_00061.png,2.52
crop_00062.png,0.93
crop_00063.png,0.36
crop_00064.png,6.32
crop_00065.png,0.37
crop_00066.png,5.17
crop_00067.png,1.17
crop_00068.png,2.73
crop_00069.png,1.58
crop_00070.png,11.82
crop_00071.png,4.06
crop_00072.png,0.22
crop_00073.png,1.61
crop_00074.png,4.78
crop_00075.png,4.95
crop_00076.png,1.69
crop_00077.png,0.87
crop_00078.png,8.52
crop_00079.png,8.88
crop_00080.png,0.73
crop_00081.png,0.24
crop_00082.png,1.83
crop_00083.png,1.14
crop_00084.png,1.26
crop_00085.png,12.37
crop_00086.png,1.51
crop_00087.png,2.18
crop_00088.png,1.23
crop_00089.png,0.42
crop_00090.png,7.98
crop_00091.png,0.13
crop_00092.png,2.54
crop_00093.png,1.22
crop_00094.png,2.36
